,Forest extent
0,5589
1,3739
2,5493
3,8135
4,5720
5,5760
6,5512
7,5753
8,5608
9,5934
10,5513
11,5579
12,5603
13,5416
14,5290
15,9357
16,9595
17,10867
18,7550
19,10808
20,11260
21,10824
22,10839
23,10850
24,10493
25,10841
26,10824
27,10813
28,10820
29,10845
30,9286
31,10823
32,4740
33,3594
34,5037
35,4619
36,3874
37,5068
38,5111
39,5003
40,4831
41,4329
42,4706
43,4953
44,4587
45,4976
46,5137
47,5268
48,4829
49,4882
50,4218
51,4590
52,4009
53,3849
54,3763
55,3835
56,3968
57,3889
58,4310
59,4283
60,4045
61,4109
62,4383
63,4422
64,7614
65,7622
66,7620
67,2138
68,7612
69,7611
70,7826
71,7615
72,8019
73,7623
74,7608
75,7791
76,7615
77,7607
78,7789
79,7932
80,1769
81,1751
82,7608
83,1748
84,1842
85,1804
86,1775
87,1736
88,1764
89,1717
90,1665
91,1735
92,1827
93,2044
94,1746
95,1958
96,4988
97,4871
98,4993
99,5028
100,4701
101,4893
102,5243
103,5056
104,5016
105,5008
106,4994
107,5054
108,4669
109,4913
110,5013
111,5093
112,5632
113,5528
114,5512
115,5253
116,5460
117,5254
118,5406
119,5347
120,5198
121,5404
122,5435
123,5709
124,5268
125,5482
126,5084
127,5496
128,4296
129,4994
130,4804
131,4410
132,4642
133,3881
134,4501
135,4579
136,4543
137,4376
138,4422
139,4304
140,4555
141,4685
142,4352
143,4344
144,4268
145,5234
146,4534
147,4363
148,5290
149,4697
150,4391
151,4425
152,4600
153,4331
154,4538
155,4379
156,4524
157,4425
158,4455
159,4558
160,4479
161,4528
162,4301
163,4358
164,4401
165,4916
166,4530
167,7174
168,4345
169,4783
170,5009
171,5013
172,7158
173,4763
174,6467
175,7101
176,5287
177,5332
178,7067
179,5440
180,4704
181,5675
182,7185
183,5546
184,7147
185,7369
186,7347
187,7122
188,5442
189,5436
190,7244
191,7136
192,3923
193,4033
194,4056
195,3804
196,3713
197,4482
198,4358
199,4383
200,3982
201,3735
202,4229
203,3333
204,3232
205,4098
206,2359
207,3854
208,2481
209,2634
210,2576
211,2373
212,2407
213,2377
214,2535
215,2283
216,2413
217,2439
218,2571
219,2776
220,2574
221,3428
222,2735
223,2641
224,6541
225,7208
226,6526
227,6620
228,6664
229,6667
230,6576
231,6628
232,6585
233,6678
234,6705
235,6753
236,6576
237,6801
238,6556
239,6538
240,6900
241,7333
242,7340
243,7415
244,7330
245,7310
246,7477
247,7340
248,7317
249,7379
250,7392
251,7374
252,7283
253,7283
254,7459
255,7265
256,4603
257,4548
258,4515
259,4352
260,4269
261,4228
262,4376
263,4465
264,4479
265,4292
266,4618
267,4683
268,4355
269,4355
270,4336
271,4510
272,5143
273,4937
274,5181
275,4439
276,4903
